1780375548.6602778,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0028386288203137156}}"
1780375553.6713045,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0025805716550166835}}"
1780375558.6825454,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0023459742320710575}}"
1780375563.6934617,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0021327038471099513}}"
1780375568.70433,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0019388216792322055}}"
1780375573.7148168,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0017625651630623906}}"
1780375578.7258775,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0016023319662963331}}"
1780375583.7373922,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0014566654239160925}}"
1780375588.7490764,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0013242412942418014}}"
1780375593.7602742,"{0: {'lag_delta': 0.0, 'pps_delta': -0.001203855722337721}}"
1780375598.771196,"{0: {'lag_delta': 0.0, 'pps_delta': -0.001094414293106638}}"
1780375603.7801147,"{0: {'lag_delta': 0.0, 'pps_delta': -0.000994922084373684}}"
1780375608.7926605,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0009044746224162736}}"
1780375613.8046124,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0008222496567213966}}"
1780375618.8136208,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0007474996879182072}}"
1780375623.8248565,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0006795451706693711}}"
1780375628.8365993,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0006177683367241116}}"
1780375633.8436332,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0005616075791294861}}"
1780375638.8514304,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0005105523448492022}}"
1780375643.863138,"{0: {'lag_delta': 0.0, 'pps_delta': -0.00046413849509008287}}"
1780375648.8728223,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0004219440864972057}}"
1780375653.883871,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0003835855330862614}}"
1780375658.8949912,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0003487141209461697}}"
1780375663.903937,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0003170128373994885}}"
1780375668.9153962,"{0: {'lag_delta': 0.0, 'pps_delta': -0.00028819348847264337}}"
1780375673.9250376,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0002619940804606813}}"
1780375678.936193,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0002381764368237782}}"
1780375683.9466836,"{0: {'lag_delta': 0.0, 'pps_delta': -0.00021652403336247517}}"
1780375688.957438,"{0: {'lag_delta': 0.0, 'pps_delta': -0.00019684003041220421}}"
